"L1Day7" "L2Day7" "L3Day7" "L5Day7" "L6Day7" "R1Day5" "R2Day5" "R3Day5" "R4Day5" "R5Day%"
"gene23" 9.80642076325133 9.78548231224602 9.8404245140833 9.84439165438573 9.79296366168308 10.024069586316 9.97649698906494 10.0437575609046 9.99138447275345 9.98880375586338
"gene24" 9.73530484584133 9.79974719306569 9.7657619705542 9.76846999386217 9.81807873535412 9.73818570178546 9.59520889952437 9.54758533921902 9.54952684493917 9.52975965828549
"gene25" 10.9314979128389 10.9408496499541 10.8991908772695 10.93978024667 11.010247183876 11.5024937877389 11.4190162367086 11.3371529597355 11.2353899957666 11.2016318313662
"gene26" 10.2930415436607 10.2101014734363 10.1452189019427 10.2570119713382 10.3197602837139 10.6733090082597 10.5882798542976 10.6496044207229 10.5576068579421 10.5225556228552
"gene27" 10.820145777313 10.7660560770358 10.7071110390567 10.813085389491 10.8667246851288 11.2670930877867 11.2358433578257 11.1745640242735 11.1092390202808 11.1163233247083
"gene28" 8.4649868707078 8.57550234213595 8.47081831304844 8.6913583108798 8.72640069212503 8.91479997850178 8.87465066935428 9.05649994276363 8.9900537436458 8.72605018263006
"gene29" 8.64473318561623 8.56051936290887 8.4424870805947 8.63992917558792 8.58816995271569 9.11792268342599 9.10662150685754 8.99034748688149 9.00504503839694 8.75603059662802
"gene30" 8.87905041240349 9.00034346131556 8.80078843781503 8.89225107446345 8.84006722788938 9.23606292687457 9.18166746530645 9.18300348050917 9.16393377914487 9.17328814796646
"gene31" 7.93345153835114 7.86023838050999 7.84538821341798 7.92208227278627 7.86322509252981 8.19425792589086 8.2213312539326 8.22854924635904 8.19909372662937 8.18857482490066
"gene32" 7.52883349363689 7.76789948177866 7.85313245016867 7.68693817988489 7.68626251828032 7.79093650541613 7.96142748474787 7.98940170231378 7.84423161570475 7.86991820406838
"gene33" 6.95303026174639 6.86371014809425 6.80281825922038 6.74077660060231 7.05714946556087 7.37628817079777 7.2151539912826 7.13402358482033 7.0000110082826 7.10126434834153
"gene34" 8.61852711120878 8.64259369670443 8.70998653643299 8.57896900687159 8.91556624869968 8.99545644913151 8.9112138940143 8.86278251865447 8.74613502571008 8.71691639521344
"gene35" 8.7998905286743 8.94545805195933 8.86372726225486 8.87585495172341 8.90074759806231 8.83910987744152 8.90857001224605 9.09622447317169 8.97588367831076 9.19228526340013
